MishearID,Src,Tgt,DocID,URL,Note,OriginalFlag,Language,Tags,Envs
girlschannel_5697216_001,あの鐘を鳴らすのはあなた,あのハゲを泣かすのはあなた,girlschannel_5697216,https://girlschannel.net/topics/5697216/,テレビCMの歌詞の空耳。,True,日本語,"['聞き間違い', '歌詞', 'テレビ', '日常生活']","['家庭', 'テレビ']"
girlschannel_5697216_002,汚職事件,お食事券,girlschannel_5697216,https://girlschannel.net/topics/5697216/,子供の頃のニュースの聞き間違い。,True,日本語,"['聞き間違い', 'ニュース', '子供', '日常生活']","['家庭', 'テレビ']"
girlschannel_5697216_003,異人さんに連れられ,偉人さんに連れられ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,「赤いくつ」の歌詞の聞き間違い。,True,日本語,"['聞き間違い', '歌詞', '子供', '日常生活']","['家庭', 'テレビ']"
girlschannel_5697216_004,還付金詐欺,パンプキン詐欺,girlschannel_5697216,https://girlschannel.net/topics/5697216/,防災無線のアナウンスの聞き間違い。,True,日本語,"['聞き間違い', 'アナウンス', '公共施設']","['公共施設', '雑音']"
girlschannel_5697216_005,多機能トイレ,滝のおトイレ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,駅のアナウンスの聞き間違い。,True,日本語,"['聞き間違い', 'アナウンス', '駅', '日常生活']","['公共施設', '雑音']"
girlschannel_5697216_006,赤ラークのロング,ジャイアントポークフランク,girlschannel_5697216,https://girlschannel.net/topics/5697216/,コンビニでの聞き間違い。,True,日本語,"['聞き間違い', '店舗', '商品', '日常生活']","['店舗', '雑音']"
girlschannel_5697216_007,6時頃,野口五郎,girlschannel_5697216,https://girlschannel.net/topics/5697216/,電話での待ち合わせ場所の聞き間違い。,True,日本語,"['聞き間違い', '電話', '待ち合わせ', '日常生活']","['電話', '雑音']"
girlschannel_5697216_008,鈴木マサシいますか？,鈴木まだ死んでますか？,girlschannel_5697216,https://girlschannel.net/topics/5697216/,電話での名前の聞き間違い。,True,日本語,"['聞き間違い', '電話', '職場', '日常生活']","['電話', '職場']"
girlschannel_5697216_009,じょうろに水を汲んできて,道路に水を汲んできて,girlschannel_5697216,https://girlschannel.net/topics/5697216/,保育園での先生の指示の聞き間違い。,True,日本語,"['聞き間違い', '子供', '学校', '日常生活']","['学校', '教室']"
girlschannel_5697216_010,花自慢,鼻血マン,girlschannel_5697216,https://girlschannel.net/topics/5697216/,テレビ番組の聞き間違い。,True,日本語,"['聞き間違い', 'テレビ', '子供', '日常生活']","['家庭', 'テレビ']"
girlschannel_5697216_011,仲間呼ぶカラスの声,仲間呼ぶからスノコへ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,平井堅の曲の歌詞の聞き間違い。,True,日本語,"['聞き間違い', '歌詞', '音楽', '日常生活']","['家庭', '音楽']"
girlschannel_5697216_012,もう一回,まあいっか～,girlschannel_5697216,https://girlschannel.net/topics/5697216/,バレーの試合中の聞き間違い。,True,日本語,"['聞き間違い', 'スポーツ', '会話', '日常生活']","['学校', '体育館']"
girlschannel_5697216_013,部会,鵜飼,girlschannel_5697216,https://girlschannel.net/topics/5697216/,キャバクラでのサラリーマン同士の会話の聞き間違い。,True,日本語,"['聞き間違い', '職場', '会話', '日常生活']","['店舗', '雑音']"
girlschannel_5697216_014,目星つけてきたんですか？,梅干つけてきたんですか？,girlschannel_5697216,https://girlschannel.net/topics/5697216/,洋服屋での店員との会話の聞き間違い。,True,日本語,"['聞き間違い', '店舗', '会話', '日常生活']","['店舗', '雑音']"
girlschannel_5697216_015,白湯,粥,girlschannel_5697216,https://girlschannel.net/topics/5697216/,食品名の聞き間違い。,True,日本語,"['聞き間違い', '食品', '日常生活']","['家庭', '食事']"
girlschannel_5697216_016,群馬,グアム,girlschannel_5697216,https://girlschannel.net/topics/5697216/,地名の聞き間違い。,True,日本語,"['聞き間違い', '地名', '日常生活']","['家庭', '会話']"
girlschannel_5697216_017,満州,蘭州,girlschannel_5697216,https://girlschannel.net/topics/5697216/,地名の聞き間違い。,True,日本語,"['聞き間違い', '地名', '日常生活']","['家庭', '会話']"
girlschannel_5697216_018,ラパン,ルパン,girlschannel_5697216,https://girlschannel.net/topics/5697216/,車種名の聞き間違い。,True,日本語,"['聞き間違い', '車', '会話', '日常生活']","['職場', '会話']"
girlschannel_5697216_019,ラパン,ウルトラマン,girlschannel_5697216,https://girlschannel.net/topics/5697216/,車種名の聞き間違い。,True,日本語,"['聞き間違い', '車', '会話', '日常生活']","['職場', '会話']"
girlschannel_5697216_020,ニコアンド,2個編んだ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,ブランド名の聞き間違い。,True,日本語,"['聞き間違い', 'ブランド', '会話', '日常生活']","['友人', '会話']"
girlschannel_5697216_021,スーパー銭湯,数パーセント,girlschannel_5697216,https://girlschannel.net/topics/5697216/,会話の聞き間違い。,True,日本語,"['聞き間違い', '会話', '日常生活']","['家庭', '会話']"
girlschannel_5697216_022,礼状,令状,girlschannel_5697216,https://girlschannel.net/topics/5697216/,会話の聞き間違い。,True,日本語,"['聞き間違い', '会話', '日常生活']","['家庭', '会話']"
girlschannel_5697216_023,不二サッシ,ふじさしさん,girlschannel_5697216,https://girlschannel.net/topics/5697216/,会社名の聞き間違い。,True,日本語,"['聞き間違い', '会社名', '日常生活']","['職場', '会話']"
girlschannel_5697216_024,おこと教室,おとこ教室,girlschannel_5697216,https://girlschannel.net/topics/5697216/,習い事の聞き間違い。,True,日本語,"['聞き間違い', '習い事', '日常生活']","['家庭', '会話']"
girlschannel_5697216_025,思い込んだら,思いコンダラ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,アニメ主題歌の歌詞の聞き間違い。,True,日本語,"['聞き間違い', '歌詞', 'アニメ', '日常生活']","['家庭', '音楽']"
girlschannel_5697216_026,チーズ買ってきて,ビール買ってきて,girlschannel_5697216,https://girlschannel.net/topics/5697216/,家庭での聞き間違い。,True,日本語,"['聞き間違い', '食品', '日常生活']","['家庭', '会話']"
girlschannel_5697216_027,キンキンタンブラー,キンキン◯マ◯マ,girlschannel_5697216,https://girlschannel.net/topics/5697216/,CMの聞き間違い。,True,日本語,"['聞き間違い', 'CM', '日常生活']","['家庭', 'テレビ']"
girlschannel_5697216_028,ラコステの帽子,学校指定の帽子,girlschannel_5697216,https://girlschannel.net/topics/5697216/,デパートでの電話の聞き間違い。,True,日本語,"['聞き間違い', '店舗', '電話', '日常生活']","['店舗', '電話']"
girlschannel_5697216_029,イトーヨーカドー,移動用カート,girlschannel_5697216,https://girlschannel.net/topics/5697216/,店舗名の聞き間違い。,True,日本語,"['聞き間違い', '店舗', '日常生活']","['店舗', '会話']"
girlschannel_5697216_030,SUPER GIRL「オーディションの日」,ホゥーディションの日,girlschannel_5697216,https://girlschannel.net/topics/5697216/,歌詞の聞き間違い。,True,日本語,"['聞き間違い', '歌詞', '音楽', '日常生活']","['家庭', '音楽']"
girlschannel_5697216_031,時任三郎,とき・にんざぶろう,girlschannel_5697216,https://girlschannel.net/topics/5697216/,芸能人の名前の読み間違い。,True,日本語,"['聞き間違い', '芸能人', '日常生活']","['家庭', '会話']"
girlschannel_5697216_032,平幹二朗,ひらめきじろう,girlschannel_5697216,https://girlschannel.net/topics/5697216/,芸能人の名前の聞き間違い。,True,日本語,"['聞き間違い', '芸能人', '日常生活']","['家庭', '会話']"
girlschannel_5697216_033,チーズバーガー,ジージバーバー,girlschannel_5697216,https://girlschannel.net/topics/5697216/,食品名の聞き間違い。,True,日本語,"['聞き間違い', '食品', '日常生活']","['家庭', '会話']"
