MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SrcID,SpeakerID,ListenerID,EnvID,Language,Category
taxi_media_20250516_001,田端,蒲田,,誤:「田端」を「蒲田」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_001,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_012,蒲田,田端,,誤:「蒲田」を「田端」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_012,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_002,仙川,千川,,誤:「仙川(Sengawa)」を「千川(Senkawa)」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_002,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_013,千川,仙川,,誤:「千川(Senkawa)」を「仙川(Sengawa)」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_013,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_003,五反田,五反野,,誤:「五反田」を「五反野(Gotanno)」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_003,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_014,五反野,五反田,,誤:「五反野(Gotanno)」を「五反田」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_014,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_004,板橋,飯田橋,,誤:「板橋」を「飯田橋」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_004,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_015,飯田橋,板橋,,誤:「飯田橋」を「板橋」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_015,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_005,渋谷,日比谷,,誤:「渋谷」を「日比谷」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_005,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_016,日比谷,渋谷,,誤:「日比谷」を「渋谷」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_016,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_006,青梅,青海,,誤:「青梅」を「青海」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_006,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_017,青海,青梅,,誤:「青海」を「青梅」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_017,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_007,立川,立会川,,誤:「立川」を「立会川(たちあいがわ)」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_007,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_018,立会川,立川,,誤:「立会川(たちあいがわ)」を「立川」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_018,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_008,目白,めじろ台,,誤:「目白」を「めじろ台」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_008,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_019,めじろ台,目白,,誤:「めじろ台」を「目白」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_019,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_009,亀戸,亀有,,誤:「亀戸」を「亀有」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_009,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_020,亀有,亀戸,,誤:「亀有」を「亀戸」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_020,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_010,北千束,北千住,,誤:「北千束」を「北千住」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_010,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_021,北千住,北千束,,誤:「北千住」を「北千束」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_021,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_011,浅草,浅草橋,,誤:「浅草」を「浅草橋」と誤聴,1,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_011,N/A,N/A,N/A,ja,tenshokudou
taxi_media_20250516_022,浅草橋,浅草,,誤:「浅草橋」を「浅草」と誤聴,0,TENSHOKU_20250516,https://www.tenshokudou.com/media/?p=13401,TENSHOKU20250516_022,N/A,N/A,N/A,ja,tenshokudou
