MishearID,TagID
n1074fz_001,MISHEARING
n1074fz_001,MISUNDERSTANDING
n1074fz_001,LYRICS
n1074fz_001,DAILY_LIFE
n1074fz_001,ESSAY
n1074fz_002,MISHEARING
n1074fz_002,MISUNDERSTANDING
n1074fz_002,GEONAME
n1074fz_002,ORGANIZATION
n1074fz_002,DAILY_LIFE
n1074fz_002,ESSAY
n1074fz_003,MISHEARING
n1074fz_003,MISHEARING
n1074fz_003,GEONAME
n1074fz_003,PUBLIC_FACILITY
n1074fz_003,DAILY_LIFE
n1074fz_003,ESSAY
n1074fz_004,MISHEARING
n1074fz_004,MISUNDERSTANDING
n1074fz_004,MEDICAL
n1074fz_004,DRUG_NAME
n1074fz_004,DAILY_LIFE
n1074fz_004,ESSAY
n1074fz_005,MISHEARING
n1074fz_005,MISHEARING
n1074fz_005,DAILY_LIFE
n1074fz_005,ESSAY
n1074fz_007,MISHEARING
n1074fz_007,MISUNDERSTANDING
n1074fz_007,MISREADING
n1074fz_007,DAILY_LIFE
n1074fz_007,ESSAY
